Tweet,Sentiment
trump s master plan to stop immigration to america by making it uninhabitable is finally coming together,neutral
curious to how many people are rewatching contagion and outbreak then sitting there thinking damn coronavirus haveweseenthisbefore,neutral
let s hope we break this trend with socialdistancing we have tracked with italy s infection rate until today,neutral
hey might as well stayhomechallenge covid coronavirus atl isolation cocktail quarantinelife,neutral
one has nothing to do with the other you are just trying to justify you asinine decisions,negative
okay so dogs can t get coronavirus but can t they be carriers of the virus,negative
of course s was told by trumppence to remove any real time data that might make trum,positive
coronavirususa got instagram models feeling extra philosophical inspirational today,positive
rubio urges small business administration to approve the s request in order to provide access to t,negative
coronavirususa father in jesus name give your angels charge set your hedge of protection over our medical staff e,neutral
i feel that america he s going to have a raging daily death toll like these other countries it just hasn t happe,negative
the supreme court is not cherished but our loved ones are you aren t worried about protecting our,positive
i feel like i graduated already lmfaooo coronavirus,neutral
watching tonight s demdebate it s clear both joe biden and bernie sanders truly want to help american families wh,positive
dow jones futures limit down even as fed cuts rates to plans billion in qe covid cases soar amid cor,negative
i m not saying i necessarily oppose it but closing bars and restaurants will demolish the lower rungs of the econom,neutral
state and local governments have been doing more before your stumbling administration woul,positive
liar says what,neutral
even with the coronavirus disease covid emergency looming supporters brave the storm to vote,positive
visited irl seems like we ve finally merged the online and offline supply chain coronavirus,neutral
breaking president declares a national emergency after more cases of covid spread across the,positive
you ve got questions and wants to find the answers grab your phone and record yourself asking what you want,positive
remember that part in the bible where jesus said now go forth and gather the pharmaceut,neutral
nio chinese billionaire jack ma begins shipment of test kits and masks to the us on friday his foundation announ,neutral
you and your wh doc sean conely are lying about your coronavirus test takes more then d,positive
us peace corps suspending operations around world evacuating volunteers as coronavirus covid fears spreads,neutral
good god please be quiet you are harming your friends family and followers coronavirus,positive
wow i would absolutely definitely catch the coronavirus for this brazilian booty i do not give a fuck i ll ta,negative
here s another question is it okay to go to the gym coronavirus,negative
ask your favorite businesses what they re doing to support hourly workers in the event of closures due to,positive
well the post office and dhl still be delivering because if not this is gonna feel like prison coronavirus covid,neutral
may be negative for coronavirus but lordy does he have a boatload of other incurable dis,negative
it s not only the elderly all of us are at risk be careful stay home sanitize clean coronavirus,positive
podcast at a pst tmrw with should the nfl move forward with free agency no more weed suspensions,positive
this is by far the most dictator ass shit i have heard in a while with local government coronavirus has people tr,negative
can please talk about how s lethally inept mismanagement of the coronavirus pandemic wi,neutral
you ve killed more people than the coronavirus,positive
this really could be the end of civilisation as we know it let s pray coffeeshop shutting due,positive
but y all said chi loses signal coronavirus death toll rises in italy coronavirus,negative
new yorkers are starting to feel the loss once the bodegas shut down you know it s real coronavirus nycshutdown,positive
i m gonna sing in the middle of the storm up from the ashes hope will arise one of my favorite songs,positive
warning against people hoarding food from grocery stores stores have plenty of food stop panic buying you hoa,neutral
wow there it is folks racism at the fucking top of this country i swear he s gonna start a fucking war within,neutral
well if my local starbucks and applebee s is an indication we are in deep trouble in about a week they were pack,negative
back to work tomorrow spring break is over no work from home for utility workers coronavirus,neutral
i just read kids could be out of school through the end of the year moms how are we going to handle this long brea,negative
i love that didn t seem to care about coronavirus until there were rumors about his orange ass having it,positive
salute to and others for helping us kick coronavirus ass coronavirus thank you,neutral
we have updated our website and will keep the most recent event and program information on that webpage the page w,positive
i hope to see more celebrities the step up and help the community in wake of coronavirus,positive
our only way to fly back from vienna to the us is via chicago and that s what s waiting for us airport,positive
coronavirususa safe from the roro or am i,negative
i love the example from chop on talking to kids about coronavirus,positive
this sums up how the leadership feel about the threat of the coronavirus on the american people,negative
er in seattle on divert status for respiratory illnesses out of beds and ventilators but throw a party make e,neutral
this guy is a piece of shit for doing this and does not deserve to make a dime off the products he hoarded and prev,negative
for those in need coronavirus covid newark new jersey,positive
unconscionable even for her what a disgrace every medical professional and scientist would agree this is not sa,positive
grab and go meal options will be provided at all schools monday march through wednesday march expanded mea,neutral
web portal will be provided by google,neutral
mattapan square coronavirus coronavirusoutbreak coronavirususa covid coronavirusmassachusetts covid,neutral
i m wondering if this coronavirus is like thanos in a way it s just decimating everything,neutral
shitter to the shower coronavirususa,neutral
white house leaker said you were tested for coronavirus last night and you know the results what are you hiding,neutral
please was your hands and practice social distancing so we can get our sports back it s only been a couple of da,positive
after ridicule deaths conspiracy associated with covid miami mayor tests po,neutral
let s get the new season of billions pushed up so we have something to watch during these couple of,positive
nyc restaurants bars only allowed to do takeout delivery starting tuesday coronavirus covid,neutral
anyone that wants a test can get a test here is the reality this is all over the us take the current of,positive
doubling cases every three days means around million in a month covid coronavirus us,neutral
you have to be joking you are so inept that nyc has to do their own testing we can t,positive
he has bottles of hand sanitizer and nowhere to sell them einkaufen coronazeiten hamsterk ufe,neutral
no no he has not if anything has contributed to the spread of the virus across t,neutral
happy to trade places come on back to nyc i ll gladly trade places felon coronavirus,positive
locations for students to pick up food while the schools are closed philly philed philaschools,negative
i hate people that try to argue with me about the coronavirus i ve been staying educated since day one and been,negative
atleast senior aged citizens and no or gloves or hand sanitize wash stations covid coronavirus shitsh,negative
i think we should officially start next year again coronapocolypse coronavirusoutbreak coronavirususa wrestlemania,neutral
spring tour postponed swipe for video we are keeping hesperia on and sactown on as of now,neutral
shut up you dangerous turd disgusting rotted brain tried to buy a german vaccine maker to pro,negative
the bleeding elephant in the room and not offer some sort of funding to make people stay home my question i gues,neutral
breaking cdc recommends that for the next weeks organizers cancel or postpone in person events that consist of,neutral
the end of the world is near in california barsclosed because of coronavirus now i ll need skype session partner,positive
this portion of the email from my daughter s teacher as the school is scrambling to address the covid situation,neutral
sign s letter to your u s senators urging them to take immediate action to pass legislation that prote,positive
immigrants in detention incarcerated americans and the homeless and others living in shelters are some of the mos,neutral
stay home or coronavirus will kill you coronavirus corona covid virus vir s v rus coronav rus jesus,neutral
should be setting a good example of sound behavior and habits to combat coronavirus please stop,positive
on now coronavirus,neutral
must be tested for coronavirus among other things,negative
this is a necessary shout out to everyone working in our medical system doctors nurses first responders out ther,positive
coronavirus compounding it is nearly impossible to catch up when behind the curve of a compounding function,negative
no one is safe from this virus covid covidgotwilson coronavirus coronavirus tomhanks speedy recovery i,positive
so fitting that this generation s consists of watching netflix and ordering things from amazon,positive
dis real coronapocolypse coronavirussa coronavirus,negative
,neutral
election coronavirus won t stop us from voting sorry mtfs,negative
health professionals are recommending people refrain from shaking hand to avoid spreading coronavirus she was rea,neutral
be careful out there coronavirus coronapocolypse,negative
while the la city is shut down i entertained myself drawing what ya ll think isolation quarantine coronavirus,negative
sylvia browne book this book predicted coronavirus outbreak years ago trending now trending news news,neutral
terrence wilder than the russian collusion or the impeachment joke or,neutral
support our first responders teachers today will be donated to appropriate org,negative
oregon municipal and county leaders we need you now more than ever stay strong and carry on,positive
pence republicans don t wash their hands because they think coronavirus is,neutral
i wanna throw this into the universe imagine if had one of his guys create a website to log onto,neutral
house full of folks and as soon as i try to cook me a little something at midnight cause nobody else can cook here,positive
welcome to coronapocalypse via of uk population need to get coronavirus so,positive
the only problem is everything google is not building the website not at all in a press event entirely designe,neutral
i am speaking thisprayer over individuals in timeslikethis that are having to be confined to uncomfortable spaces,negative
why isn t regular bar soap and body wash soap sold out also covid coronavirususa coronavirus,neutral
companies working on vaccines altimmune tonix inovia etc need fe,neutral
great news new york state halts evictions statewide due to coronavirus coronavirus covid newyork,positive
good news donaldtrump mikepence have the coronavirusoutbreak under control coronavirusupdates covid,positive
crazy how foreign philanthropy actually has it more together then the administration,negative
coronavirus covid nationalemergency in an unprecedented move has suspended the year old lab,positive
despite all the lies and haters president trump wakes up everyday to serve and protect the country he loves than,negative
toilet papering someone s house is the current makin it rain coronavirusupdates coronapocolypse,negative
that s touches to the face this time to the nose coronavirus,neutral
psa don t be afraid to buy mouthwash covid coronavirus,negative
payrolltaxcut should go into effect but only for companies that do,neutral
people need to stay away from other people i skyped with coronavirus patient kevin harris from his hospital b,negative
the economy gas prices is tanking because of the coronavirus the market is falling b,neutral
our greatest line of defense against covid is not the economy we,positive
they re so stupid just waiting for pence to lick s face to prove their point coronavirus,negative
when does waive interest rates and late penalties i m glad all the homeowners,negative
whatever trump does he makes the problem worse then blames others truly a thin skinned con artist,negative
if would test people as much as he tweets we would have a lot more test done this is the job you,positive
it s kinda sick for biden that he has an excuse to hide from rallies and interacting with the public in general,negative
sorry if you re after watching this girl coronavirus coronaviruschallenge,negative
please coronavirus covid,neutral
next presser someone ask if he ever does anything wrong and let america hear his response,negative
coronavirus death toll rises in italy coronavirus,neutral
totally not a cult cult coronavirus covid unfittobepresident,neutral
this doesn t bode well now does it coronavirus cov d flattenthecurve savannah georgia,neutral
it s time to change your behavior wash hands more often don t hoard supplies say please thank you,positive
which comes out first s tax returns or his coronavirus results,negative
got that la fitness email but this is how i really stay fit coronavirususa thetruthruth running,positive
who will play in the film about coronavirususa,neutral
