tweet_id,date,text,favorite_count,retweet_count,at_mentions,at_mentions_id,hashtags,user_id,user_name,user_profile,in_reply_to_tweet_id,country,place,lang,coordinates,latitude,longitude,tidy_text,tone
1.24e+18,3/15/2020 18:09,"“#THISIsATime to #PLAN and NOT #Panic” @pastortraci 🙏🏾
@NAACP Emergency #TeleTownHall
#ProtectingOurCommunity… https://t.co/mIVPRfflwq",1,0,"['Traci Blackmon', 'NAACP']","[2906442505, 44988185]","['THISIsATime', 'PLAN', 'Panic', 'TeleTownHall', 'ProtectingOurCommunity']",728301752.0,Shameem Clark Hubbard,"Alderwoman 26ThWard,City of St.Louis🙏🏾#CoveredWithoutClue #ReadyToServe #Anew26",,United States,The Westside,en,"[-90.27869305664164, 38.67073163327381]",-90.27869305664164,38.67073163327381,thisisatime to plan and not panic emergency teletownhall protectingourcommunity,neutral
1.24e+18,3/15/2020 18:09,"If you think this is crazy, given how many people still aren’t taking this seriously, shit is really about to get real, #coronavirus",0,0,[],[],['coronavirus'],977080963.0,BtownPucks,"Bruins, Pats, C's, Sox",,United States,Massachusetts,en,"[-73.508143, 41.187054]",-73.508143,41.187054,if you think this is crazy given how many people still aren t taking this seriously shit is really about to get real coronavirus,negative
1.24e+18,3/15/2020 18:09,"I’m immunocompromised, I have #Lupus (SLE), #Fibromyalgia, #sleepapnea, #arthritis, I don't have thyroid... A lot o… https://t.co/wX6pMrd6Pc",0,0,[],[],"['Lupus', 'Fibromyalgia', 'sleepapnea', 'arthritis']",4344017655.0,Edna M Medina 🇵🇷,"Puerto Rican, mother of 3 special needs boys, crafter, homebaker, I love writing poetry, SLE (Lupus) and Fibromyalgia Warrior.",,United States,Green Bay,en,"[-88.139804, 44.47174]",-88.139804,44.47174,i m immunocompromised i have lupus sle fibromyalgia sleepapnea arthritis i don t have thyroid a lot o,neutral
1.24e+18,3/15/2020 18:09,"Ok if we are going to sit at home for the next 8 weeks, we might need to have trash pickup more than once a week. I… https://t.co/OV58fCvZMT",0,0,[],[],[],230927746.0,Jeremy Grissom,Christ Follower. Husband. Father. Son. Brother. Cousin. Arkansas Razorback fan. Chicago Cubs fan. Southern Arkansas University Alumni  #riders.,,United States,Monticello,en,"[-91.831202, 33.579353]",-91.831202,33.579353,ok if we are going to sit at home for the next weeks we might need to have trash pickup more than once a week i,neutral
1.24e+18,3/15/2020 18:08,You can't touch your face if you're wearing someone else's #coronavirus https://t.co/9r81bMeAcH,0,0,[],[],['coronavirus'],8.84e+17,William Pack,More than Magic - Creator of Exceptions to Reality. shill for Big Truth,,United States,Batavia,en,"[-88.401718, 41.811369]",-88.401718,41.811369,you can t touch your face if you re wearing someone else s coronavirus,neutral
1.24e+18,3/15/2020 18:08,@seanna68 @JanetNestor @AnaErleneNM @_TomGReid @ZalkaB @totallyBeingMe @BrendaMKramer @llake @ThatGrrlTina… https://t.co/ZvWCchhG4l,0,0,"['𝒮𝑒𝒶𝓃𝓃𝒶 🧁', 'Pathways 2 Wholeness', 'Ana Erlene Nogueira', 'Tom Reid', 'Zala Bricelj - 🇸🇮 😊 #edutech is my jam', 'Msfit 🏋️\u200d♀️', 'Brenda Kramer', 'lillian lake', 'Tina Bassett']","[1064202373, 166248847, 748499720, 3031223422, 1308645990, 2673301947, 144932567, 18595994, 22668314]",[],17475560.0,"Sabrina Cadini, CHLC, CBFC","🧩 Holistic Life Coach 🧠 Brain Fitness Coach 💡 #LifeWorkBalance: Life comes first, then work can get done 📘 @LifescaleU Coaching Program Director",1.24e+18,United States,San Diego,en,"[-117.282538, 32.53962]",-117.282538,32.53962,tomgreid,neutral
1.24e+18,3/15/2020 18:08,You want to see people lose their shit?  Just see what happens if #ChickfilA and #Starbucks closes during this… https://t.co/2QJac35Apm,0,0,[],[],"['ChickfilA', 'Starbucks']",283855983.0,Debbie Bucciero,"Sorry I’m late, I didn’t want to come.",,United States,St Petersburg,en,"[-82.758209, 27.694323]",-82.758209,27.694323,you want to see people lose their shit just see what happens if chickfila and starbucks closes during this,negative
1.24e+18,3/15/2020 18:08,Not sure why my daughter who is a DENTAL assistant has to open tomorrow when the state of #massachusetts is on lock… https://t.co/g9hOqMu19Q,0,0,[],[],['massachusetts'],348599017.0,mamache,,,United States,Franklin,en,"[-71.456408, 42.018277]",-71.456408,42.018277,not sure why my daughter who is a dental assistant has to open tomorrow when the state of massachusetts is on lock,negative
1.24e+18,3/15/2020 18:08,What a great way to isolate myself 😎 #kayakfishing #pnw #lakewashington #coronavirus https://t.co/X7d0PTloLL,0,0,[],[],"['kayakfishing', 'pnw', 'lakewashington', 'coronavirus']",421460623.0,Audrey➳➳➳,So just live your life,,United States,Boulevard Park,en,"[-122.330892, 47.488531]",-122.330892,47.488531,what a great way to isolate myself kayakfishing pnw lakewashington coronavirus,positive
1.24e+18,3/15/2020 18:08,Kinston-Lenoir County Parks and Recreation closing all facilities  https://t.co/O9izRZlsWm  #coronavirus @KristyDBock #LenoirCo #KinstonNC,0,0,['Author Kristy Denice Bock'],[18449632],"['coronavirus', 'LenoirCo', 'KinstonNC']",9.84e+17,Neuse News,"Hyper-local news with no pop-ups, no AP news and no online subscription fees. No kidding! Subscribe (for free) to our Neuse Newsletter delivered daily at 7 am.",,United States,Kinston,en,"[-77.652885, 35.2279455]",-77.652885,35.2279455,kinston lenoir county parks and recreation closing all facilities coronavirus lenoirco kinstonnc,neutral
