tweet_id,date,text,favorite_count,retweet_count,at_mentions,at_mentions_id,hashtags,user_id,user_name,user_profile,in_reply_to_tweet_id,country,place,lang,coordinates,latitude,longitude,tidy_text,heat,tone
1239358160105850000.00,3/15/20 18:09,"“#THISIsATime to #PLAN and NOT #Panic” @pastortraci 🙏🏾
@NAACP Emergency #TeleTownHall
#ProtectingOurCommunity… https://t.co/mIVPRfflwq",1,0,"['Traci Blackmon', 'NAACP']","[2906442505, 44988185]","['THISIsATime', 'PLAN', 'Panic', 'TeleTownHall', 'ProtectingOurCommunity']",728301752,Shameem Clark Hubbard,"Alderwoman 26ThWard,City of St.Louis🙏🏾#CoveredWithoutClue #ReadyToServe #Anew26",,United States,The Westside,en,"[-90.27869305664164, 38.67073163327381]",-90.28,38.67, thisisatime to plan and not panic  pastortraci 🙏🏾 naacp emergency teletownhall protectingourcommunity  httpstcomivprfflwq,1,neutral
1239358141869030000.00,3/15/20 18:09,"If you think this is crazy, given how many people still aren’t taking this seriously, shit is really about to get real, #coronavirus",0,0,[],[],['coronavirus'],977080963,BtownPucks,"Bruins, Pats, C's, Sox",,United States,Massachusetts,en,"[-73.508143, 41.187054]",-73.51,41.19,if you think this is crazy given how many people still aren t taking this seriously shit is really about to get real coronavirus,0,negative
1239358032716360000.00,3/15/20 18:09,"I’m immunocompromised, I have #Lupus (SLE), #Fibromyalgia, #sleepapnea, #arthritis, I don't have thyroid... A lot o… https://t.co/wX6pMrd6Pc",0,0,[],[],"['Lupus', 'Fibromyalgia', 'sleepapnea', 'arthritis']",4344017655,Edna M Medina 🇵🇷,"Puerto Rican, mother of 3 special needs boys, crafter, homebaker, I love writing poetry, SLE (Lupus) and Fibromyalgia Warrior.",,United States,Green Bay,en,"[-88.139804, 44.47174]",-88.14,44.47,i m immunocompromised i have lupus sle fibromyalgia sleepapnea arthritis i dont have thyroid a lot o   ,0,neutral
1239358007282100000.00,3/15/20 18:09,"Ok if we are going to sit at home for the next 8 weeks, we might need to have trash pickup more than once a week. I… https://t.co/OV58fCvZMT",0,0,[],[],[],230927746,Jeremy Grissom,Christ Follower. Husband. Father. Son. Brother. Cousin. Arkansas Razorback fan. Chicago Cubs fan. Southern Arkansas University Alumni  #riders.,,United States,Monticello,en,"[-91.831202, 33.579353]",-91.83,33.58,ok if we are going to sit at home for the next   weeks we might need to have trash pickup more than once a week i   ,0,neutral
1239357938998930000.00,3/15/20 18:08,You can't touch your face if you're wearing someone else's #coronavirus https://t.co/9r81bMeAcH,0,0,[],[],['coronavirus'],8.83785E+17,William Pack,More than Magic - Creator of Exceptions to Reality. shill for Big Truth,,United States,Batavia,en,"[-88.401718, 41.811369]",-88.40,41.81,you cant touch your face if youre wearing someone elses coronavirus  ,0,neutral
1239357892802670000.00,3/15/20 18:08,@seanna68 @JanetNestor @AnaErleneNM @_TomGReid @ZalkaB @totallyBeingMe @BrendaMKramer @llake @ThatGrrlTina… https://t.co/ZvWCchhG4l,0,0,"['𝒮𝑒𝒶𝓃𝓃𝒶 🧁', 'Pathways 2 Wholeness', 'Ana Erlene Nogueira', 'Tom Reid', 'Zala Bricelj - 🇸🇮 😊 #edutech is my jam', 'Msfit 🏋️\u200d♀️', 'Brenda Kramer', 'lillian lake', 'Tina Bassett']","[1064202373, 166248847, 748499720, 3031223422, 1308645990, 2673301947, 144932567, 18595994, 22668314]",[],17475560,"Sabrina Cadini, CHLC, CBFC","🧩 Holistic Life Coach 🧠 Brain Fitness Coach 💡 #LifeWorkBalance: Life comes first, then work can get done 📘 @LifescaleU Coaching Program Director",1.24E+18,United States,San Diego,en,"[-117.282538, 32.53962]",-117.28,32.54,  janetnestor anaerlenenm tomgreid zalkab totallybeingme brendamkramer llake thatgrrltina   ,0,neutral
1239357836418780000.00,3/15/20 18:08,You want to see people lose their shit?  Just see what happens if #ChickfilA and #Starbucks closes during this… https://t.co/2QJac35Apm,0,0,[],[],"['ChickfilA', 'Starbucks']",283855983,Debbie Bucciero,"Sorry I’m late, I didn’t want to come.",,United States,St Petersburg,en,"[-82.758209, 27.694323]",-82.76,27.69,you want to see people lose their shit  just see what happens if chickfila and starbucks closes during this   ,0,negative
1239357809902440000.00,3/15/20 18:08,Not sure why my daughter who is a DENTAL assistant has to open tomorrow when the state of #massachusetts is on lock… https://t.co/g9hOqMu19Q,0,0,[],[],['massachusetts'],348599017,mamache,,,United States,Franklin,en,"[-71.456408, 42.018277]",-71.46,42.02,not sure why my daughter who is a dental assistant has to open tomorrow when the state of massachusetts is on lock   ,0,negative
1239357798783290000.00,3/15/20 18:08,What a great way to isolate myself 😎 #kayakfishing #pnw #lakewashington #coronavirus https://t.co/X7d0PTloLL,0,0,[],[],"['kayakfishing', 'pnw', 'lakewashington', 'coronavirus']",421460623,Audrey➳➳➳,So just live your life,,United States,Boulevard Park,en,"[-122.330892, 47.488531]",-122.33,47.49,what a great way to isolate myself 😎 kayakfishing pnw lakewashington coronavirus  ,0,positive
1239357791770480000.00,3/15/20 18:08,Kinston-Lenoir County Parks and Recreation closing all facilities  https://t.co/O9izRZlsWm  #coronavirus @KristyDBock #LenoirCo #KinstonNC,0,0,['Author Kristy Denice Bock'],[18449632],"['coronavirus', 'LenoirCo', 'KinstonNC']",9.83545E+17,Neuse News,"Hyper-local news with no pop-ups, no AP news and no online subscription fees. No kidding! Subscribe (for free) to our Neuse Newsletter delivered daily at 7 am.",,United States,Kinston,en,"[-77.652885, 35.2279455]",-77.65,35.23,kinstonlenoir county parks and recreation closing all facilities     coronavirus kristydbock lenoirco kinstonnc,0,neutral
1239357788549070000.00,3/15/20 18:08,Can you get #coronavirus from a glory hole? Asking for a friend. 😇,0,0,[],[],['coronavirus'],2514026935,The Pool Boy Q,this that red cup all on the lawn shit.,,United States,San Francisco,en,"[-122.514926, 37.708075]",-122.51,37.71,can you get coronavirus from a glory hole asking for a friend 😇,0,neutral
1239357692314930000.00,3/15/20 18:07,"Well, if memes have taught me anything - at this number, no more cases of the #CoronaVirus are allowed in… https://t.co/gSvaY0E60c",0,0,[],[],['CoronaVirus'],334781536,Evin Charles Anderson,"LA Actor. Host of @MindMineTV on #Youtube! 
IMDB: https://t.co/DzH9zcquDo
Management: Sheer Talent Management LLC",,United States,City of Los Angeles,en,"[-118.24512004852294, 34.05571721333726]",-118.25,34.06,well if memes have taught me anything  at this number no more cases of the coronavirus are allowed in   ,0,negative
1239357672920660000.00,3/15/20 18:07,I don’t wish ill on anyone...but if someone was to be infected with the  #coronavirus I would hope it would be this… https://t.co/mTn8hWpPZ1,2,0,[],[],['coronavirus'],44118235,Phillip Graham,"Travel, economics, history, and linguistics enthusiast",,United States,Dallas,en,"[-96.977527, 32.620678]",-96.98,32.62,i don t wish ill on anyonebut if someone was to be infected with the  coronavirus i would hope it would be this   ,2,negative
1239357670961940000.00,3/15/20 18:07,"A school Superintendent said something profound in his address cancelling school for the next 3 weeks. “In the end,… https://t.co/FBFnX1r0YJ",0,0,[],[],[],823433930,Rhonda,"The greatness of a man is not in how much wealth he acquires, but in his integrity and his ability to affect those around him positively. Bob Marley",,United States,Texas,en,"[-106.645646, 25.837092]",-106.65,25.84,a school superintendent said something profound in his address cancelling school for the next   weeks  in the end   ,0,positive
1239357632688930000.00,3/15/20 18:07,Ok what are the positives of this #coronavirus situation?? I’m trying to practice a glass half full outlook right now. #COVIDー19,0,0,[],[],"['coronavirus', 'COVIDー19']",19013963,AJ Jimenez,"Graphic Designer & occasional letter doodler, born and raised in Cleveland, Ohio.",,United States,Cleveland,en,"[-81.877771, 41.392684]",-81.88,41.39,ok what are the positives of this coronavirus situation i m trying to practice a glass half full outlook right now  ,0,neutral
1239357631665520000.00,3/15/20 18:07,"Immigrants in detention, incarcerated Americans, and the homeless and others living in shelters are some of the mos… https://t.co/bScLmDq2jv",3,3,[],[],[],8.59806E+17,Dr. Christine Eady Mann,| FP Doctor | Candidate for US Congress TX-31 | donate: https://t.co/OwH4dfGky9 #TX31 #resist #persist,,United States,Texas,en,"[-106.645646, 25.837092]",-106.65,25.84,immigrants in detention incarcerated americans and the homeless and others living in shelters are some of the mos   ,6,neutral
1239357621515110000.00,3/15/20 18:07,"Sunday.  Caught wearing my #coronavirus appropriate shirt, my 'Stay Back' @NRA ball cap, while Manspreading in all… https://t.co/VDN6H0GCu9",0,0,['NRA'],[21829541],['coronavirus'],256148562,Robert  Allen Strupp,"AZ-Born-Boomer.  17yrs owner of Phoenix 50-employee family business.  Private Security 13 years.  Jesus, then, Levothyroxine saved my life.  Retired.",,United States,Starbucks (inside Barnes & Noble),en,"[-112.1138944238191, 33.711479958956126]",-112.11,33.71,sunday  caught wearing my coronavirus appropriate shirt my stay back nra ball cap while manspreading in all   ,0,positive
1239357501486830000.00,3/15/20 18:07,Does rolling someone's house qualify as a hate crime now? #coronavirus #COVID19,0,0,[],[],"['coronavirus', 'COVID19']",87475367,Sean Antle,Husband | Father | Jesus follower | Aspiring home cook | Cloud HCM professional,,United States,Oklahoma,en,"[-103.0026515, 33.615765]",-103.00,33.62,does rolling someones house qualify as a hate crime now coronavirus  ,0,negative
1239357435850240000.00,3/15/20 18:06,Has there been any #coronavirus associated with Russia? 🤔🧐,0,0,[],[],['coronavirus'],1652701596,Marc O’shalma,Just a guy who dislikes most things,,United States,Bronx,en,"[-73.933612, 40.785365]",-73.93,40.79,has there been any coronavirus associated with russia 🤔🧐,0,neutral
