token,count
coronavirus,76
realdonaldtrump,36
coronavirususa,20
amp,18
just,15
people,13
trump,10
home,10
italy,9
help,9
new,8
time,8
stay,8
breaking,8
right,7
make,7
need,7
food,7
tested,7
pandemic,7
potus,6
week,6
team,6
don,6
like,6
disney,6
says,6
national,5
month,5
hands,5
china,5
social,5
public,5
getting,5
follow,5
president,5
days,5
news,5
work,5
spread,5
closed,5
america,5
americans,4
talking,4
positive,4
way,4
doctor,4
going,4
today,4
thank,4
response,4
things,4
think,4
know,4
day,4
dont,4
seeing,4
told,4
negative,4
tests,4
joebiden,4
stay home,4
great,4
address,4
health,4
years,4
working,4
called,3
normal,3
lockdown,3
post,3
really,3
negative coronavirus,3
total,3
action,3
test,3
listening,3
tested negative,3
stop,3
testing,3
hard,3
tonight,3
starting,3
social distancing,3
putting,3
bars,3
emergency,3
want,3
coronapocolypse,3
glad,3
restaurants,3
quarantine,3
rate,3
cdcgov,3
demdebate,3
safe,3
distancing,3
avoid,3
house,3
come,3
country,3
thought,3
movie,3
said,3
white,3
biden,3
amid,3
symptoms,3
shut,3
coming,3
million,3
sites,3
believe,3
city,3
difficult,3
berniesanders,3
president realdonaldtrump,2
canada,2
needs,2
control,2
decrease,2
hear,2
friends,2
inept,2
tired,2
seeing realdonaldtrump,2
camel,2
infected,2
nevada,2
single payer,2
coronavirus flattenthecurve,2
friendly,2
intelligence,2
people assume,2
happy,2
joe,2
sanitiser,2
big,2
protect,2
spread novel,2
coronavirus created,2
music,2
birmingham,2
italy single,2
say,2
payer,2
hawaii,2
stamps,2
totally,2
food stamps,2
irresponsible,2
schools,2
incredible,2
private,2
start,2
bring,2
france,2
bringing,2
time coronavirus,2
day coronavirus,2
cancelled,2
created,2
citizens entitled,2
citizens,2
shows,2
chose,2
china staythefhome,2
temporarily,2
students,2
crisis,2
positive coronavirus,2
coronavirusoutbreak,2
coronavirus test,2
test results,2
guest,2
paper,2
cover,2
old,2
claimed,2
home avoid,2
omaha,2
gov,2
open,2
close,2
sunday,2
governor,2
taking,2
closures,2
outbreak,2
host,2
govsisolak,2
hospitals,2
single,2
check,2
truly,2
continues,2
cases,2
service,2
night,2
contact,2
guidelines,2
orlando,2
staythefhome coronavirus,2
prayers,2
tests positive,2
case,2
staythefhome,2
stay safe,2
death,2
death rate,2
help crisis,2
steps,2
helping,2
park,2
data,2
pray,2
notice,2
cdc,2
given,2
novel,2
novel coronavirus,2
numbers,2
centers,2
glad realdonaldtrump,2
shaking,2
shaking hands,2
nyc,2
nygovcuomo,2
breaking cdcgov,2
people food,2
joe biden,2
known,2
aren,2
read,2
far,2
family,2
anxiety,2
resorts,2
antiinflammatories,2
men,2
leadership,2
watching,2
learn,2
leave,2
reports,2
meet,2
economy,2
mexico,2
restaurants bars,2
weeks,2
artificial,2
kids,2
usd,2
usd week,2
avoid spread,2
using,2
feeling,2
king,2
feel,2
racism,2
vegas,2
assume,2
results,2
asked,2
ask,2
artificial intelligence,2
week stay,2
let,2
quite,2
remains,2
making,2
makes,2
everythingsgonnabeokay,2
make stay,2
address coronavirus,2
year,2
actually,2
recovery,2
record,2
act,2
longer,2
entitled,2
young,2
entitled usd,2
entry,2
wow,2
reminder,2
west,2
affected,2
lethally,2
white house,2
reporters,2
lets,2
american,2
meal,2
won,2
mass,2
elderly,2
workers,2
list,2
agree,2
realdonaldtrump potus,2
ago,2
world,2
million people,2
watch,2
risk,2
bernie,2
doctors,2
barackobama,2
beaches,2
just called,2
unprecedented,2
fir,2
beach,2
twitter,2
beginning,2
fight,2
journalists,2
fighting,2
flattenthecurve,2
finally,2
money,2
trump just,2
public schools,2
fmr,2
turned,2
florida,2
doesn,2
does,2
quarantinelife,2
photos,1
piece,1
pictures day,1
professors amp,1
promise,1
pictures,1
